mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.79,"2 km NW of Cobb, CA",1702158017340,1702158972222,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973886,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973886&format=geojson,,,,,automatic,0,10,nc,73973886,",nc73973886,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.02553,0.05,193.0,md,earthquake,"M 0.8 - 2 km NW of Cobb, CA"
2.0,"44 km NW of Toyah, Texas",1702157785440,1702159443833,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycmv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycmv&format=geojson,,,,,automatic,0,62,tx,2023ycmv,",tx2023ycmv,",",tx,",",origin,phase-data,",16.0,0.0,0.4,68.0,mlv,earthquake,"M 2.0 - 44 km NW of Toyah, Texas"
0.71,"2 km N of The Geysers, CA",1702156701600,1702157892088,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973876&format=geojson,,,,,automatic,0,8,nc,73973876,",nc73973876,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.009459,0.01,106.0,md,earthquake,"M 0.7 - 2 km N of The Geysers, CA"
1.7,"34 km NNW of Toyah, Texas",1702156490645,1702159163844,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycmc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycmc&format=geojson,,,,,automatic,0,44,tx,2023ycmc,",tx2023ycmc,",",tx,",",origin,phase-data,",15.0,0.0,0.3,67.0,ml,earthquake,"M 1.7 - 34 km NNW of Toyah, Texas"
1.5,"33 km W of Clear, Alaska",1702156178351,1702156326898,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023frlw5hn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023frlw5hn&format=geojson,,,,,automatic,0,35,ak,023frlw5hn,",ak023frlw5hn,",",ak,",",origin,phase-data,",,,0.75,,ml,earthquake,"M 1.5 - 33 km W of Clear, Alaska"
1.12,"6 km SE of Yucaipa, CA",1702155774430,1702156147654,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618264,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618264&format=geojson,,,,,automatic,0,19,ci,40618264,",ci40618264,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",33.0,0.1008,0.19,57.0,ml,earthquake,"M 1.1 - 6 km SE of Yucaipa, CA"
2.69,"2 km NNW of Indios, Puerto Rico",1702155322460,1702156082300,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71433608,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71433608&format=geojson,,,,,reviewed,0,111,pr,71433608,",pr71433608,",",pr,",",origin,phase-data,",8.0,0.0646,0.08,151.0,md,earthquake,"M 2.7 - 2 km NNW of Indios, Puerto Rico"
1.6,"14 km WNW of Calipatria, CA",1702155129890,1702155527305,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618256&format=geojson,,,,,automatic,0,39,ci,40618256,",ci40618256,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.03324,0.25,53.0,ml,earthquake,"M 1.6 - 14 km WNW of Calipatria, CA"
0.86,"9 km ENE of Morgan Hill, CA",1702155069310,1702193652982,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973871,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973871&format=geojson,,,,,reviewed,0,11,nc,73973871,",nc73973871,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.05297,0.11,56.0,md,earthquake,"M 0.9 - 9 km ENE of Morgan Hill, CA"
1.9,"17 km SE of Lake Pillsbury, CA",1702154513010,1702171750586,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973866&format=geojson,,,,,reviewed,0,56,nc,73973866,",nc73973866,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",55.0,0.1566,0.15,37.0,md,earthquake,"M 1.9 - 17 km SE of Lake Pillsbury, CA"
1.49,"14 km WNW of Calipatria, CA",1702153839640,1702154242190,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618240,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618240&format=geojson,,,,,automatic,0,34,ci,40618240,",ci40618240,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",42.0,0.02948,0.22,53.0,ml,earthquake,"M 1.5 - 14 km WNW of Calipatria, CA"
0.3,"13 km W of Toms Place, CA",1702153493980,1702161491593,,https://earthquake.usgs.gov/earthquakes/eventpage/nc71132089,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71132089&format=geojson,,,,,reviewed,0,1,nc,71132089,",nc71132089,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.01215,0.03,279.0,md,earthquake,"M 0.3 - 13 km W of Toms Place, CA"
1.79,"17 km SE of Lake Pillsbury, CA",1702153474270,1702168395259,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973856&format=geojson,,,,,reviewed,0,49,nc,73973856,",nc73973856,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",36.0,0.1563,0.13,46.0,md,earthquake,"M 1.8 - 17 km SE of Lake Pillsbury, CA"
0.16,"2 km NNW of The Geysers, CA",1702153430550,1702186935144,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973851,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973851&format=geojson,,,,,reviewed,0,0,nc,73973851,",nc73973851,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.01288,0.02,71.0,md,earthquake,"M 0.2 - 2 km NNW of The Geysers, CA"
1.62,"12 km E of Ocotillo, CA",1702153237540,1702153621138,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618224,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618224&format=geojson,,,,,automatic,0,40,ci,40618224,",ci40618224,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.1,0.22,48.0,ml,earthquake,"M 1.6 - 12 km E of Ocotillo, CA"
2.25,"7 km NW of The Geysers, CA",1702152743480,1702162392540,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973841,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973841&format=geojson,,,,,automatic,0,78,nc,73973841,",nc73973841,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",44.0,0.00932,0.06,46.0,md,earthquake,"M 2.3 - 7 km NW of The Geysers, CA"
2.8,"14 km WNW of Calipatria, CA",1702152409480,1702235375893,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618216,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618216&format=geojson,,,,,reviewed,0,121,ci,40618216,",ci40618216,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",36.0,0.02867,0.22,38.0,ml,earthquake,"M 2.8 - 14 km WNW of Calipatria, CA"
2.43,"14 km WNW of Calipatria, CA",1702152396910,1702240018525,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618208,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618208&format=geojson,,,,,reviewed,0,91,ci,40618208,",ci40618208,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.03407,0.21,55.0,ml,earthquake,"M 2.4 - 14 km WNW of Calipatria, CA"
2.0,"20 km N of Sandy Valley, Nevada",1702152340083,1702152482604,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00869934,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00869934&format=geojson,,,,,automatic,0,62,nn,00869934,",nn00869934,",",nn,",",origin,phase-data,",8.0,0.702,0.3963,341.92,ml,earthquake,"M 2.0 - 20 km N of Sandy Valley, Nevada"
3.31,"14 km WNW of Calipatria, CA",1702152286430,1702227243540,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618200,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618200&format=geojson,2.0,4.1,,,reviewed,0,169,ci,40618200,",ci40618200,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",67.0,0.03381,0.25,28.0,ml,earthquake,"M 3.3 - 14 km WNW of Calipatria, CA"
4.9,Reykjanes Ridge,1702151991122,1702152870040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhsw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhsw&format=geojson,,,,,reviewed,0,369,us,7000lhsw,",us7000lhsw,",",us,",",origin,phase-data,",86.0,7.284,0.6,69.0,mb,earthquake,M 4.9 - Reykjanes Ridge
2.01,"4 km W of Cobb, CA",1702151873300,1702161491455,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73973826,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73973826&format=geojson,,,,,automatic,0,62,nc,73973826,",nc73973826,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",43.0,0.01374,0.05,49.0,md,earthquake,"M 2.0 - 4 km W of Cobb, CA"
1.5,"67 km SW of Skwentna, Alaska",1702151778717,1702154160392,,https://earthquake.usgs.gov/earthquakes/eventpage/ak023frkzbio,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak023frkzbio&format=geojson,,,,,reviewed,0,35,ak,023frkzbio,",ak023frkzbio,",",ak,",",origin,phase-data,",,,1.31,,ml,earthquake,"M 1.5 - 67 km SW of Skwentna, Alaska"
1.8,"35 km NNW of Toyah, Texas",1702151530983,1702153407328,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ycjj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ycjj&format=geojson,,,,,automatic,0,50,tx,2023ycjj,",tx2023ycjj,",",tx,",",origin,phase-data,",14.0,0.1,0.3,67.0,ml,earthquake,"M 1.8 - 35 km NNW of Toyah, Texas"
1.99,"3 km SSE of Lima, Montana",1702151523940,1702248143520,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90035793,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90035793&format=geojson,,,,,reviewed,0,61,mb,90035793,",mb90035793,",",mb,",",origin,phase-data,",14.0,0.04683,0.07,97.0,ml,earthquake,"M 2.0 - 3 km SSE of Lima, Montana"
2.03,"3 km SSE of Lima, Montana",1702151351020,1702235430690,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90035783,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90035783&format=geojson,,,,,reviewed,0,63,mb,90035783,",mb90035783,",",mb,",",origin,phase-data,",12.0,0.04688,0.05,97.0,ml,earthquake,"M 2.0 - 3 km SSE of Lima, Montana"
5.0,"144 km ENE of Bitung, Indonesia",1702151087829,1702152568040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lhsr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lhsr&format=geojson,,,,,reviewed,0,385,us,7000lhsr,",us7000lhsr,",",us,",",origin,phase-data,",48.0,1.47,0.94,67.0,mb,earthquake,"M 5.0 - 144 km ENE of Bitung, Indonesia"
0.8,"13 km WSW of Wadsworth, Nevada",1702150863170,1702181642205,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00869945,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00869945&format=geojson,,,,,reviewed,0,10,nn,00869945,",nn00869945,",",nn,",",origin,phase-data,",9.0,0.109,0.155,169.95,ml,earthquake,"M 0.8 - 13 km WSW of Wadsworth, Nevada"
0.8,"56 km ENE of Independence, California",1702150339662,1702161597329,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00869932,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00869932&format=geojson,,,,,reviewed,0,10,nn,00869932,",nn00869932,",",nn,",",origin,phase-data,",8.0,0.215,0.0689,215.76,ml,earthquake,"M 0.8 - 56 km ENE of Independence, California"
0.56,"9 km NE of Anza, CA",1702148599810,1702148971344,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618176,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618176&format=geojson,,,,,automatic,0,5,ci,40618176,",ci40618176,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.008962,0.43,116.0,ml,earthquake,"M 0.6 - 9 km NE of Anza, CA"
1.93,"16 km WSW of Niland, CA",1702148248650,1702148617999,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618168,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618168&format=geojson,,,,,automatic,0,57,ci,40618168,",ci40618168,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.05033,0.07,304.0,ml,earthquake,"M 1.9 - 16 km WSW of Niland, CA"
4.1,"102 km WNW of San Antonio de los Cobres, Argentina",1702147699723,1702157023040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lht5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000lht5&format=geojson,,,,,reviewed,0,259,us,7000lht5,",us7000lht5,",",us,",",origin,phase-data,",16.0,1.295,1.1,146.0,mb,earthquake,"M 4.1 - 102 km WNW of San Antonio de los Cobres, Argentina"
0.78,"6 km E of Government Camp, Oregon",1702147404810,1702270315310,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61975766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61975766&format=geojson,,,,,reviewed,0,9,uw,61975766,",uw61975766,",",uw,",",origin,phase-data,",10.0,0.01951,0.1,168.0,ml,earthquake,"M 0.8 - 6 km E of Government Camp, Oregon"
2.81,"14 km WNW of Calipatria, CA",1702146973200,1702232883566,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618160,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618160&format=geojson,,,,,reviewed,0,121,ci,40618160,",ci40618160,us7000lhsd,",",ci,us,",",nearby-cities,origin,phase-data,scitech-link,",66.0,0.03578,0.24,35.0,ml,earthquake,"M 2.8 - 14 km WNW of Calipatria, CA"
2.38,"9 km NE of Pāhala, Hawaii",1702146967590,1702155791040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73679982,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73679982&format=geojson,,,,,automatic,0,87,hv,73679982,",us7000lhsc,hv73679982,",",us,hv,",",origin,phase-data,",49.0,,0.129999995,128.0,ml,earthquake,"M 2.4 - 9 km NE of Pāhala, Hawaii"
1.36,"3 km NNW of Lake Henshaw, CA",1702146944640,1702219795310,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40618152,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40618152&format=geojson,,,,,reviewed,0,28,ci,40618152,",ci40618152,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",55.0,0.0375,0.15,23.0,ml,earthquake,"M 1.4 - 3 km NNW of Lake Henshaw, CA"
